ibge7,ibge6,municipio,uf,regiao,ano_populacao,populacao,ubs,hospitais,centros_cirurgicos,centros_obstetricos,ubs_por_10k,hospitais_por_100k,centros_cirurgicos_por_100k,centros_obstetricos_por_100k,indice_lacuna,prioridade_exploratoria
3535705,353570,Paraíso,SP,Sudeste,2025,6218,3,0,0,0,4.82,0.0,0.0,0.0,57.61,Alta
3536109,353610,Pardinho,SP,Sudeste,2025,7435,1,0,0,0,1.34,0.0,0.0,0.0,95.36,Muito alta
3536208,353620,Pariquera-Açu,SP,Sudeste,2025,19603,9,0,0,0,4.59,0.0,0.0,0.0,60.58,Alta
3536257,353625,Parisi,SP,Sudeste,2025,3030,1,0,0,0,3.3,0.0,0.0,0.0,77.02,Muito alta
3536307,353630,Patrocínio Paulista,SP,Sudeste,2025,14888,7,0,0,0,4.7,0.0,0.0,0.0,59.3,Alta
3536406,353640,Paulicéia,SP,Sudeste,2025,8255,3,0,0,0,3.63,0.0,0.0,0.0,72.71,Alta
3536570,353657,Paulistânia,SP,Sudeste,2025,2156,1,0,0,0,4.64,0.0,0.0,0.0,60.01,Alta
3536604,353660,Paulo de Faria,SP,Sudeste,2025,7390,2,0,0,0,2.71,0.0,0.0,0.0,83.81,Muito alta
3536505,353650,Paulínia,SP,Sudeste,2025,116674,12,2,1,0,1.03,1.71,0.86,0.0,78.64,Muito alta
3536703,353670,Pederneiras,SP,Sudeste,2025,46337,14,1,1,1,3.02,2.16,2.16,2.16,61.41,Alta
3536802,353680,Pedra Bela,SP,Sudeste,2025,6745,3,0,0,0,4.45,0.0,0.0,0.0,62.34,Alta
3536901,353690,Pedranópolis,SP,Sudeste,2025,2856,1,0,0,0,3.5,0.0,0.0,0.0,74.57,Alta
3537008,353700,Pedregulho,SP,Sudeste,2025,15737,9,0,0,0,5.72,0.0,0.0,0.0,48.42,Moderada
3537107,353710,Pedreira,SP,Sudeste,2025,44385,10,0,0,0,2.25,0.0,0.0,0.0,88.65,Muito alta
3537156,353715,Pedrinhas Paulista,SP,Sudeste,2025,2833,2,0,0,0,7.06,0.0,0.0,0.0,40.91,Moderada
3537206,353720,Pedro de Toledo,SP,Sudeste,2025,11617,6,0,0,0,5.16,0.0,0.0,0.0,53.73,Alta
3537305,353730,Penápolis,SP,Sudeste,2025,63426,11,1,0,0,1.73,1.58,0.0,0.0,74.74,Alta
3537404,353740,Pereira Barreto,SP,Sudeste,2025,24360,6,0,0,0,2.46,0.0,0.0,0.0,86.31,Muito alta
3537503,353750,Pereiras,SP,Sudeste,2025,9013,2,0,0,0,2.22,0.0,0.0,0.0,89.01,Muito alta
3537602,353760,Peruíbe,SP,Sudeste,2025,70629,15,1,1,1,2.12,1.42,1.42,1.42,71.94,Alta
3537701,353770,Piacatu,SP,Sudeste,2025,5631,1,0,0,0,1.78,0.0,0.0,0.0,92.47,Muito alta
3537800,353780,Piedade,SP,Sudeste,2025,54266,9,0,0,0,1.66,0.0,0.0,0.0,93.31,Muito alta
3537909,353790,Pilar do Sul,SP,Sudeste,2025,28459,9,0,0,0,3.16,0.0,0.0,0.0,78.65,Muito alta
3538006,353800,Pindamonhangaba,SP,Sudeste,2025,172681,32,4,2,2,1.85,2.32,1.16,1.16,72.61,Alta
